network,n_nodes,n_edges,n_clusters,method,runtime_sec,n_cores,full_recovery_rate,clean_recovery_rate,mean_recovery,n_split,n_merged
lesmis,77,237,12,Leiden-mod,0.003,12,0.9167,0.1667,0.9583,1,10
lesmis,77,237,12,Leiden-CPM-0.01,0.003,12,1.0,0.1667,1.0,0,10
lesmis,77,237,12,Leiden-CPM-0.1,0.002,12,0.8333,0.4167,0.9167,2,5
lesmis,77,237,12,Leiden-CPM-0.5,0.002,12,0.8333,0.5,0.9167,2,5
lesmis,77,237,12,Curvature,0.83,12,1.0,0.3333,1.0,0,8
train_terrorists,64,241,6,Leiden-mod,0.001,6,1.0,0.6667,1.0,0,2
train_terrorists,64,241,6,Leiden-CPM-0.01,0.001,6,1.0,0.0,1.0,0,6
train_terrorists,64,241,6,Leiden-CPM-0.1,0.002,6,1.0,0.5,1.0,0,3
train_terrorists,64,241,6,Leiden-CPM-0.5,0.002,6,0.8333,0.6667,0.9722,1,2
train_terrorists,64,241,6,Curvature,0.69,6,1.0,0.3333,1.0,0,4
highschool,70,271,5,Leiden-mod,0.002,5,1.0,0.6,1.0,0,2
highschool,70,271,5,Leiden-CPM-0.01,0.001,5,1.0,0.0,1.0,0,5
highschool,70,271,5,Leiden-CPM-0.1,0.001,5,1.0,0.6,1.0,0,2
highschool,70,271,5,Leiden-CPM-0.5,0.002,5,0.2,0.0,0.6667,4,2
highschool,70,271,5,Curvature,0.73,5,1.0,0.0,1.0,0,5
cs_department,61,347,5,Leiden-mod,0.001,5,1.0,0.6,1.0,0,2
cs_department,61,347,5,Leiden-CPM-0.01,0.001,5,1.0,0.0,1.0,0,5
cs_department,61,347,5,Leiden-CPM-0.1,0.001,5,1.0,0.4,1.0,0,3
cs_department,61,347,5,Leiden-CPM-0.5,0.001,5,1.0,0.6,1.0,0,2
cs_department,61,347,5,Curvature,1.01,5,1.0,0.0,1.0,0,5
sp_kenyan_households,47,495,6,Leiden-mod,0.001,6,0.8333,0.1667,0.9722,1,5
sp_kenyan_households,47,495,6,Leiden-CPM-0.01,0.001,6,1.0,0.0,1.0,0,6
sp_kenyan_households,47,495,6,Leiden-CPM-0.1,0.001,6,1.0,0.0,1.0,0,6
sp_kenyan_households,47,495,6,Leiden-CPM-0.5,0.001,6,0.8333,0.1667,0.9722,1,5
sp_kenyan_households,47,495,6,Curvature,1.26,6,1.0,0.0,1.0,0,6
sp_office,92,751,7,Leiden-mod,0.002,7,0.8571,0.1429,0.9524,1,6
sp_office,92,751,7,Leiden-CPM-0.01,0.002,7,1.0,0.0,1.0,0,7
sp_office,92,751,7,Leiden-CPM-0.1,0.002,7,1.0,0.1429,1.0,0,6
sp_office,92,751,7,Leiden-CPM-0.5,0.002,7,0.4286,0.4286,0.75,4,3
sp_office,92,751,7,Curvature,2.01,7,1.0,0.0,1.0,0,7
law_firm,71,1001,7,Leiden-mod,0.002,7,1.0,0.0,1.0,0,7
law_firm,71,1001,7,Leiden-CPM-0.01,0.002,7,1.0,0.0,1.0,0,7
law_firm,71,1001,7,Leiden-CPM-0.1,0.002,7,1.0,0.0,1.0,0,7
law_firm,71,1001,7,Leiden-CPM-0.5,0.002,7,0.8571,0.1429,0.9286,1,6
law_firm,71,1001,7,Curvature,2.7,7,1.0,0.0,1.0,0,7
sp_hospital,75,1138,9,Leiden-mod,0.004,9,0.6667,0.0,0.8519,3,9
sp_hospital,75,1138,9,Leiden-CPM-0.01,0.002,9,1.0,0.0,1.0,0,9
sp_hospital,75,1138,9,Leiden-CPM-0.1,0.002,9,1.0,0.0,1.0,0,9
sp_hospital,75,1138,9,Leiden-CPM-0.5,0.003,9,0.5556,0.2222,0.7778,4,7
sp_hospital,75,1138,9,Curvature,3.29,9,1.0,0.2222,1.0,0,7
faa_routes,1226,2407,13,Leiden-mod,0.054,13,1.0,0.3077,1.0,0,9
faa_routes,1226,2407,13,Leiden-CPM-0.01,0.082,13,0.8462,0.7692,0.9231,2,2
faa_routes,1226,2407,13,Leiden-CPM-0.1,0.052,13,0.6154,0.6154,0.8077,5,0
faa_routes,1226,2407,13,Leiden-CPM-0.5,0.015,13,0.4615,0.4615,0.7308,7,0
